Ticket_ID,Customer_ID,Created_Date,Created_Time,Channel,Category,Sub_Category,Priority,Agent_ID,Customer_City,Customer_Type,Ticket_Status,First_Response_Minutes,Resolution_Hours,Reopened,Escalated,CSAT_Score,Resolved_Date,Resolved_Time
TKT000022,CUST04064,17-02-2026 00:00,00-01-1900 18:14,Social Media,Refund,Partial Refund,Low,AG005,Pune,New,Closed,371,128.27,No,No,4,23-02-2026 00:00,00-01-1900 02:30
TKT000023,CUST03423,11-06-2026 00:00,00-01-1900 18:51,Chat,Delivery,Late Delivery,Medium,AG015,Delhi,Returning,Open,51,,No,No,,,
TKT000024,CUST00661,27-06-2026 00:00,00-01-1900 14:51,Chat,Payment,Duplicate Charge,Medium,AG003,Bengaluru,Returning,Closed,102,39.76,No,No,,29-06-2026 00:00,00-01-1900 06:37
TKT000025,CUST03449,15-01-2026 00:00,00-01-1900 03:06,Phone,Payment,Duplicate Charge,Low,AG009,Hyderabad,Returning,Closed,171,12.08,No,No,5,15-01-2026 00:00,00-01-1900 15:10
TKT000026,CUST00809,28-01-2026 00:00,00-01-1900 01:26,Chat,Account,Login Issue,Low,AG036,Bengaluru,Returning,Closed,117,33.14,No,No,4,29-01-2026 00:00,00-01-1900 10:34
TKT000027,CUST02314,11-06-2026 00:00,00-01-1900 13:03,Chat,Product,Quality Issue,Low,AG020,Bengaluru,Returning,Closed,171,11.05,No,No,,12-06-2026 00:00,00-01-1900 00:06
TKT000028,CUST01223,01-06-2026 00:00,00-01-1900 04:44,Phone,Delivery,Missing Order,Medium,AG016,Bengaluru,New,Closed,43,15.07,No,No,4,01-06-2026 00:00,00-01-1900 19:48
TKT000029,CUST02926,20-05-2026 00:00,00-01-1900 02:07,Chat,Product,Wrong Item,Low,AG025,Mumbai,Returning,Closed,103,16.46,No,No,4,20-05-2026 00:00,00-01-1900 18:35
TKT000030,CUST01196,25-04-2026 00:00,00-01-1900 10:43,Email,Refund,Refund Rejected,High,AG001,Chennai,Returning,Closed,23,5.35,No,No,4,25-04-2026 00:00,00-01-1900 16:04
TKT000031,CUST01051,12-06-2026 00:00,00-01-1900 09:18,Chat,Technical,Page Not Loading,Medium,AG029,Bengaluru,Premium,Closed,68,8.15,No,No,5,12-06-2026 00:00,00-01-1900 17:27
TKT000032,CUST01272,24-01-2026 00:00,00-01-1900 09:41,Email,Refund,Return Pickup,High,AG003,Chennai,Premium,Closed,34,7.15,No,No,5,24-01-2026 00:00,00-01-1900 16:50
TKT000033,CUST04133,26-06-2026 00:00,00-01-1900 18:39,Chat,Delivery,Wrong Address,Medium,AG014,Hyderabad,Premium,Closed,106,12.88,No,No,5,27-06-2026 00:00,00-01-1900 07:32
TKT000034,CUST04410,09-06-2026 00:00,00-01-1900 17:10,Chat,Delivery,Missing Order,Low,AG013,Mumbai,Returning,Closed,112,39.48,No,No,5,11-06-2026 00:00,00-01-1900 08:39
TKT000035,CUST00883,22-03-2026 00:00,00-01-1900 15:51,Chat,Product,Damaged Product,Medium,AG019,Pune,Premium,Closed,66,6.29,No,No,4,22-03-2026 00:00,00-01-1900 22:08
TKT000036,CUST01752,06-01-2026 00:00,00-01-1900 11:21,Chat,Refund,Partial Refund,Low,AG002,Hyderabad,Returning,Closed,63,23.61,No,No,4,07-01-2026 00:00,00-01-1900 10:58
TKT000037,CUST03078,15-01-2026 00:00,00-01-1900 21:23,Phone,Refund,Refund Delayed,High,AG005,Hyderabad,Returning,Closed,80,16.68,No,No,3,16-01-2026 00:00,00-01-1900 14:03
TKT000038,CUST00912,12-03-2026 00:00,00-01-1900 09:24,Phone,Delivery,Missing Order,Medium,AG010,Bengaluru,New,Closed,32,9.66,No,No,,12-03-2026 00:00,00-01-1900 19:04
TKT000039,CUST01344,06-03-2026 00:00,00-01-1900 08:05,Phone,Technical,Checkout Error,Medium,AG030,Pune,Returning,Closed,110,42.78,No,No,4,08-03-2026 00:00,00-01-1900 02:52
TKT000040,CUST02607,13-04-2026 00:00,00-01-1900 10:08,Email,Payment,Amount Debited,Medium,AG001,Hyderabad,Returning,Closed,165,41.27,No,Yes,,15-04-2026 00:00,00-01-1900 03:24
TKT000041,CUST00731,18-02-2026 00:00,00-01-1900 10:42,Email,Cancellation,Order Cancellation,Low,AG012,Pune,Premium,Closed,141,21.68,No,No,,19-02-2026 00:00,00-01-1900 08:22
TKT000042,CUST00169,10-05-2026 00:00,00-01-1900 13:18,Email,Refund,Return Pickup,Medium,AG001,Bengaluru,Returning,Closed,100,19.43,No,No,,11-05-2026 00:00,00-01-1900 08:43
TKT000043,CUST02461,21-06-2026 00:00,00-01-1900 13:34,Chat,Refund,Partial Refund,Low,AG002,Mumbai,New,Closed,127,38.05,No,No,,23-06-2026 00:00,00-01-1900 03:37
TKT000044,CUST02586,18-02-2026 00:00,00-01-1900 15:11,Email,Payment,Amount Debited,Medium,AG003,Pune,New,Closed,48,5.29,No,No,5,18-02-2026 00:00,00-01-1900 20:28
TKT000045,CUST02260,30-03-2026 00:00,00-01-1900 07:03,Chat,Delivery,Missing Order,Medium,AG018,Mumbai,Returning,Closed,178,48.35,No,Yes,3,01-04-2026 00:00,00-01-1900 07:24
TKT000046,CUST02040,24-05-2026 00:00,00-01-1900 05:09,Social Media,Product,Wrong Item,High,AG026,Hyderabad,Premium,Closed,83,16.85,No,Yes,,24-05-2026 00:00,00-01-1900 22:00
TKT000047,CUST01888,06-04-2026 00:00,00-01-1900 03:37,Chat,Product,Quality Issue,Low,AG026,Hyderabad,New,Closed,108,32.68,No,No,5,07-04-2026 00:00,00-01-1900 12:18
TKT000048,CUST03676,16-05-2026 00:00,00-01-1900 20:21,Email,Delivery,Tracking Issue,High,AG013,Chennai,Returning,Closed,21,1.78,No,No,4,16-05-2026 00:00,00-01-1900 22:07
TKT000049,CUST01940,06-04-2026 00:00,00-01-1900 12:13,Chat,Payment,Amount Debited,Medium,AG001,Delhi,Returning,Closed,106,26.22,No,No,3,07-04-2026 00:00,00-01-1900 14:27
TKT000050,CUST00758,03-02-2026 00:00,00-01-1900 02:11,Email,Product,Damaged Product,High,AG027,Mumbai,Premium,Pending,22,,No,No,,,
TKT000051,CUST03739,11-03-2026 00:00,00-01-1900 12:02,Phone,Refund,Partial Refund,Medium,AG002,Bengaluru,New,Closed,47,20.47,No,No,4,12-03-2026 00:00,00-01-1900 08:30
TKT000052,CUST01180,04-04-2026 00:00,00-01-1900 18:46,Chat,Account,Account Locked,Medium,AG032,Bengaluru,Returning,Closed,74,14.44,No,No,,05-04-2026 00:00,00-01-1900 09:13
TKT000053,CUST00041,10-05-2026 00:00,00-01-1900 12:33,Email,Account,Login Issue,High,AG029,Pune,New,Closed,21,5.33,No,No,4,10-05-2026 00:00,00-01-1900 17:53
TKT000054,CUST03149,03-01-2026 00:00,00-01-1900 04:52,Phone,Payment,Duplicate Charge,Low,AG007,Delhi,New,Closed,201,42.95,No,No,4,04-01-2026 00:00,00-01-1900 23:49
TKT000055,CUST02442,23-03-2026 00:00,00-01-1900 15:05,Chat,Delivery,Wrong Address,Medium,AG010,Mumbai,Returning,Closed,146,29.64,No,Yes,3,24-03-2026 00:00,00-01-1900 20:43
TKT000056,CUST01597,08-01-2026 00:00,00-01-1900 11:54,Chat,Technical,App Crash,Medium,AG028,Mumbai,Returning,Closed,32,12.06,No,No,5,08-01-2026 00:00,00-01-1900 23:58
TKT000057,CUST03257,20-01-2026 00:00,00-01-1900 12:53,Email,Delivery,Missing Order,Medium,AG011,Mumbai,Returning,Closed,89,7.39,No,Yes,5,20-01-2026 00:00,00-01-1900 20:16
TKT000058,CUST02003,02-04-2026 00:00,00-01-1900 12:03,Email,Account,OTP Issue,Medium,AG029,Pune,Returning,Closed,39,10.81,No,No,4,02-04-2026 00:00,00-01-1900 22:51
TKT000059,CUST01333,01-01-2026 00:00,00-01-1900 15:32,Email,Refund,Return Pickup,High,AG001,Mumbai,Premium,Closed,31,3.98,Yes,No,4,01-01-2026 00:00,00-01-1900 19:30
TKT000060,CUST01778,04-03-2026 00:00,00-01-1900 07:53,Email,Account,Account Locked,Critical,AG036,Bengaluru,Returning,Closed,12,1.56,No,No,5,04-03-2026 00:00,00-01-1900 09:26
TKT000061,CUST03042,22-06-2026 00:00,00-01-1900 21:22,Social Media,Product,Damaged Product,Medium,AG024,Delhi,New,Closed,233,27.38,No,Yes,,24-06-2026 00:00,00-01-1900 00:45
TKT000062,CUST04016,25-06-2026 00:00,00-01-1900 22:52,Email,Account,OTP Issue,Medium,AG031,Chennai,New,Closed,73,12.61,No,No,4,26-06-2026 00:00,00-01-1900 11:29
TKT000063,CUST04050,16-02-2026 00:00,00-01-1900 03:08,Phone,Refund,Return Pickup,Low,AG007,Hyderabad,Premium,Closed,179,111.47,No,No,3,20-02-2026 00:00,00-01-1900 18:36
TKT000064,CUST00011,14-04-2026 00:00,00-01-1900 12:21,Phone,Cancellation,Seller Cancellation,Medium,AG010,Pune,Returning,Closed,80,8.73,No,No,5,14-04-2026 00:00,00-01-1900 21:05
TKT000065,CUST01742,23-01-2026 00:00,00-01-1900 05:07,Chat,Technical,Page Not Loading,High,AG034,Delhi,New,Closed,31,5.18,No,No,4,23-01-2026 00:00,00-01-1900 10:17
TKT000066,CUST00360,05-01-2026 00:00,00-01-1900 21:41,Email,Delivery,Wrong Address,Medium,AG013,Delhi,Premium,Closed,81,17.72,No,No,5,06-01-2026 00:00,00-01-1900 15:24
TKT000067,CUST01463,20-03-2026 00:00,00-01-1900 14:29,Phone,Technical,App Crash,Low,AG028,Chennai,Returning,Closed,91,25.26,No,No,4,21-03-2026 00:00,00-01-1900 15:44
TKT000068,CUST00413,26-06-2026 00:00,00-01-1900 14:25,Email,Refund,Refund Delayed,Medium,AG001,Bengaluru,New,Closed,95,10.95,No,No,,27-06-2026 00:00,00-01-1900 01:22
TKT000069,CUST00310,10-02-2026 00:00,00-01-1900 15:46,Phone,Payment,Payment Failed,Critical,AG002,Bengaluru,Premium,Closed,23,3.39,No,No,4,10-02-2026 00:00,00-01-1900 19:10
TKT000070,CUST02557,05-05-2026 00:00,00-01-1900 17:53,Social Media,Refund,Partial Refund,Medium,AG004,Mumbai,Returning,Closed,67,11.12,No,No,4,06-05-2026 00:00,00-01-1900 05:00
TKT000071,CUST01630,04-01-2026 00:00,00-01-1900 07:41,Chat,Delivery,Missing Order,Medium,AG016,Mumbai,New,Closed,73,7.45,No,No,4,04-01-2026 00:00,00-01-1900 15:08
TKT000072,CUST04191,30-01-2026 00:00,00-01-1900 19:59,Social Media,Refund,Refund Delayed,Medium,AG005,Pune,Returning,Closed,162,46.49,No,No,3,01-02-2026 00:00,00-01-1900 18:28
TKT000073,CUST02664,29-01-2026 00:00,00-01-1900 23:12,Chat,Delivery,Missing Order,Medium,AG015,Pune,Returning,Closed,98,19.86,No,No,5,30-01-2026 00:00,00-01-1900 19:04
TKT000074,CUST00650,29-04-2026 00:00,00-01-1900 03:47,Chat,Account,Profile Update,Medium,AG035,Pune,Returning,Closed,150,50.7,No,No,4,01-05-2026 00:00,00-01-1900 06:29
TKT000075,CUST02423,23-01-2026 00:00,00-01-1900 11:09,Email,Payment,Amount Debited,High,AG003,Hyderabad,Returning,Closed,19,5.33,No,Yes,,23-01-2026 00:00,00-01-1900 16:29
TKT000076,CUST02968,02-06-2026 00:00,00-01-1900 17:47,Email,Delivery,Tracking Issue,Low,AG014,Hyderabad,New,Closed,77,13.86,No,No,4,03-06-2026 00:00,00-01-1900 07:39
TKT000077,CUST03637,03-02-2026 00:00,00-01-1900 15:20,Email,Delivery,Missing Order,Medium,AG010,Chennai,Returning,Closed,98,5.58,No,No,5,03-02-2026 00:00,00-01-1900 20:55
TKT000078,CUST02958,31-03-2026 00:00,00-01-1900 15:57,Email,Refund,Refund Rejected,Low,AG002,Bengaluru,New,Closed,99,37.93,No,No,,02-04-2026 00:00,00-01-1900 05:52
TKT000079,CUST02571,01-02-2026 00:00,00-01-1900 12:53,Chat,Payment,Payment Failed,High,AG002,Chennai,Returning,Closed,30,6.66,No,No,4,01-02-2026 00:00,00-01-1900 19:33
TKT000080,CUST00760,11-01-2026 00:00,00-01-1900 20:04,Chat,Refund,Return Pickup,High,AG005,Chennai,New,Closed,73,12.13,No,No,3,12-01-2026 00:00,00-01-1900 08:12
TKT000081,CUST02352,05-05-2026 00:00,00-01-1900 11:53,Email,Payment,Duplicate Charge,High,AG002,Mumbai,Returning,Closed,15,4.32,No,Yes,4,05-05-2026 00:00,00-01-1900 16:12
TKT000082,CUST02413,15-02-2026 00:00,00-01-1900 16:39,Chat,Product,Quality Issue,High,AG023,Hyderabad,Premium,Closed,42,3.38,No,No,4,15-02-2026 00:00,00-01-1900 20:02
TKT000083,CUST03357,22-03-2026 00:00,00-01-1900 07:36,Chat,Technical,Checkout Error,Medium,AG036,Hyderabad,Returning,Closed,125,62,No,Yes,,24-03-2026 00:00,00-01-1900 21:36
TKT000084,CUST04329,02-01-2026 00:00,00-01-1900 21:59,Email,Product,Wrong Item,Medium,AG022,Pune,Returning,Closed,104,7.64,No,No,,03-01-2026 00:00,00-01-1900 05:38
TKT000085,CUST02542,20-04-2026 00:00,00-01-1900 13:08,Chat,Product,Quality Issue,High,AG019,Chennai,Returning,Closed,43,1.6,No,No,5,20-04-2026 00:00,00-01-1900 14:44
TKT000086,CUST01599,02-05-2026 00:00,00-01-1900 04:46,Chat,Product,Damaged Product,Medium,AG025,Hyderabad,Returning,Closed,48,12.49,No,No,4,02-05-2026 00:00,00-01-1900 17:16
TKT000087,CUST02987,08-02-2026 00:00,00-01-1900 20:20,Phone,Delivery,Tracking Issue,Low,AG013,Mumbai,New,Closed,165,14.85,No,No,,09-02-2026 00:00,00-01-1900 11:11
TKT000088,CUST00982,11-04-2026 00:00,00-01-1900 13:03,Chat,Delivery,Missing Order,High,AG010,Bengaluru,New,Closed,50,4.4,No,No,,11-04-2026 00:00,00-01-1900 17:27
TKT000089,CUST01577,21-03-2026 00:00,00-01-1900 17:56,Chat,Delivery,Tracking Issue,Medium,AG014,Mumbai,Returning,Closed,120,21.78,No,Yes,,22-03-2026 00:00,00-01-1900 15:43
TKT000090,CUST00465,09-06-2026 00:00,00-01-1900 12:38,Chat,Delivery,Missing Order,Medium,AG010,Delhi,Returning,Closed,68,15.95,No,No,5,10-06-2026 00:00,00-01-1900 04:35
TKT000091,CUST03641,18-05-2026 00:00,00-01-1900 17:59,Email,Payment,Duplicate Charge,Medium,AG004,Chennai,Returning,Closed,73,7.96,No,No,4,19-05-2026 00:00,00-01-1900 01:57
TKT000092,CUST01733,17-04-2026 00:00,00-01-1900 02:28,Phone,Delivery,Tracking Issue,Low,AG017,Pune,Returning,Closed,225,88.07,No,Yes,3,20-04-2026 00:00,00-01-1900 18:32
TKT000093,CUST00162,10-01-2026 00:00,00-01-1900 16:46,Chat,Delivery,Tracking Issue,Medium,AG015,Pune,Returning,Closed,83,7.49,No,No,5,11-01-2026 00:00,00-01-1900 00:16
TKT000094,CUST04307,11-04-2026 00:00,00-01-1900 23:17,Phone,Payment,Amount Debited,Low,AG004,Chennai,Premium,Closed,190,42.84,No,No,4,13-04-2026 00:00,00-01-1900 18:08
TKT000095,CUST01377,01-04-2026 00:00,00-01-1900 09:51,Chat,Account,Account Locked,Medium,AG029,Hyderabad,New,Closed,87,20.99,No,No,4,02-04-2026 00:00,00-01-1900 06:50
TKT000096,CUST02274,17-03-2026 00:00,00-01-1900 13:19,Phone,Refund,Refund Rejected,Medium,AG001,Mumbai,Returning,Closed,181,47.25,No,No,3,19-03-2026 00:00,00-01-1900 12:34
TKT000097,CUST02870,27-01-2026 00:00,00-01-1900 21:21,Chat,Account,Login Issue,Critical,AG032,Delhi,New,Closed,27,1.52,No,No,5,27-01-2026 00:00,00-01-1900 22:52
TKT000098,CUST02165,04-02-2026 00:00,00-01-1900 15:04,Email,Payment,Payment Failed,Medium,AG002,Mumbai,Premium,Closed,76,9.03,No,No,5,05-02-2026 00:00,00-01-1900 00:06
TKT000099,CUST04020,15-06-2026 00:00,00-01-1900 18:53,Phone,Technical,App Crash,High,AG031,Delhi,New,Closed,19,4.87,No,No,5,15-06-2026 00:00,00-01-1900 23:45
TKT000100,CUST03526,03-03-2026 00:00,00-01-1900 08:24,Email,Technical,Page Not Loading,Low,AG028,Mumbai,New,Closed,197,36.42,No,No,4,04-03-2026 00:00,00-01-1900 20:50
TKT000101,CUST03620,25-02-2026 00:00,00-01-1900 02:09,Chat,Payment,Amount Debited,Medium,AG008,Mumbai,New,Closed,42,11.65,No,No,5,25-02-2026 00:00,00-01-1900 13:48
TKT000102,CUST03461,23-02-2026 00:00,00-01-1900 14:32,Chat,Product,Wrong Item,Medium,AG020,Delhi,New,Closed,30,17.94,No,No,5,24-02-2026 00:00,00-01-1900 08:29
TKT000103,CUST00503,23-04-2026 00:00,00-01-1900 09:42,Chat,Refund,Partial Refund,Medium,AG002,Bengaluru,Returning,Closed,148,57.82,No,No,3,25-04-2026 00:00,00-01-1900 19:31
TKT000104,CUST01146,10-01-2026 00:00,00-01-1900 12:13,Chat,Technical,Checkout Error,High,AG030,Bengaluru,Returning,Closed,48,5.86,No,No,5,10-01-2026 00:00,00-01-1900 18:04
TKT000105,CUST01224,04-04-2026 00:00,00-01-1900 23:38,Chat,Technical,Page Not Loading,Medium,AG033,Mumbai,New,Closed,55,10.46,No,No,,05-04-2026 00:00,00-01-1900 10:06
TKT000106,CUST03249,22-04-2026 00:00,00-01-1900 13:04,Social Media,Refund,Return Pickup,High,AG003,Chennai,Returning,Pending,19,,No,No,,,
TKT000107,CUST03628,23-04-2026 00:00,00-01-1900 05:17,Email,Technical,App Crash,High,AG034,Pune,Premium,Closed,98,14.65,No,No,3,23-04-2026 00:00,00-01-1900 19:56
TKT000108,CUST03329,07-02-2026 00:00,00-01-1900 17:27,Chat,Payment,EMI Issue,Medium,AG005,Hyderabad,New,Closed,88,11.31,No,No,5,08-02-2026 00:00,00-01-1900 04:46
TKT000109,CUST01903,09-03-2026 00:00,00-01-1900 03:49,Social Media,Technical,Coupon Error,High,AG036,Mumbai,Premium,Closed,20,6.59,No,No,5,09-03-2026 00:00,00-01-1900 10:24
TKT000110,CUST03035,24-06-2026 00:00,00-01-1900 16:28,Chat,Product,Wrong Item,Medium,AG024,Delhi,Returning,Pending,76,,No,No,,,
TKT000111,CUST00953,30-01-2026 00:00,00-01-1900 15:59,Chat,Refund,Refund Delayed,Medium,AG003,Delhi,Returning,Closed,35,21.07,No,No,4,31-01-2026 00:00,00-01-1900 13:04
TKT000112,CUST00733,21-06-2026 00:00,00-01-1900 00:30,Chat,Technical,Checkout Error,Medium,AG036,Delhi,Returning,Closed,68,20.11,No,No,5,21-06-2026 00:00,00-01-1900 20:36
TKT000113,CUST03367,27-04-2026 00:00,00-01-1900 14:40,Email,Product,Wrong Item,Medium,AG020,Mumbai,New,Closed,72,18.6,No,No,5,28-04-2026 00:00,00-01-1900 09:16
TKT000114,CUST00970,20-01-2026 00:00,00-01-1900 21:01,Phone,Cancellation,Seller Cancellation,Medium,AG014,Hyderabad,Premium,Closed,89,15.37,No,No,5,21-01-2026 00:00,00-01-1900 12:23
TKT000115,CUST02716,28-06-2026 00:00,00-01-1900 16:36,Social Media,Refund,Partial Refund,Medium,AG004,Bengaluru,Returning,Closed,102,16.79,No,No,5,29-06-2026 00:00,00-01-1900 09:23
TKT000116,CUST02848,07-03-2026 00:00,00-01-1900 05:08,Email,Product,Quality Issue,High,AG027,Hyderabad,Returning,Closed,40,2.43,No,No,,07-03-2026 00:00,00-01-1900 07:33
TKT000117,CUST03218,07-01-2026 00:00,00-01-1900 15:31,Email,Product,Damaged Product,Medium,AG021,Delhi,Returning,Closed,81,15.5,No,No,4,08-01-2026 00:00,00-01-1900 07:01
TKT000118,CUST03434,22-02-2026 00:00,00-01-1900 22:28,Social Media,Account,Login Issue,High,AG031,Delhi,New,Closed,54,20.11,No,No,3,23-02-2026 00:00,00-01-1900 18:35
TKT000119,CUST00031,10-03-2026 00:00,00-01-1900 16:05,Phone,Refund,Partial Refund,High,AG006,Hyderabad,Returning,Closed,58,17.63,No,No,3,11-03-2026 00:00,00-01-1900 09:43
TKT000120,CUST01911,19-05-2026 00:00,00-01-1900 12:29,Email,Product,Wrong Item,Medium,AG020,Bengaluru,New,Closed,33,12.36,No,No,4,20-05-2026 00:00,00-01-1900 00:50
TKT000121,CUST00241,07-06-2026 00:00,00-01-1900 15:47,Email,Account,Profile Update,High,AG030,Mumbai,Returning,Closed,53,15.67,No,No,3,08-06-2026 00:00,00-01-1900 07:27
TKT000122,CUST03354,24-01-2026 00:00,00-01-1900 13:12,Email,Payment,Duplicate Charge,Medium,AG003,Hyderabad,Returning,Closed,90,7.54,No,No,4,24-01-2026 00:00,00-01-1900 20:44
TKT000123,CUST04266,24-03-2026 00:00,00-01-1900 14:49,Phone,Product,Damaged Product,Medium,AG021,Hyderabad,Returning,Closed,79,21,No,No,4,25-03-2026 00:00,00-01-1900 11:49
TKT000124,CUST03204,30-01-2026 00:00,00-01-1900 09:40,Email,Product,Missing Item,High,AG019,Chennai,Returning,Closed,26,2.9,No,No,4,30-01-2026 00:00,00-01-1900 12:34
TKT000125,CUST00309,29-06-2026 00:00,00-01-1900 22:11,Chat,Cancellation,Seller Cancellation,Medium,AG015,Mumbai,Premium,Pending,38,,No,No,,,
TKT000126,CUST00073,27-06-2026 00:00,00-01-1900 20:01,Chat,Cancellation,Seller Cancellation,High,AG014,Delhi,Returning,Closed,45,3.34,No,No,4,27-06-2026 00:00,00-01-1900 23:22
TKT000127,CUST02236,03-04-2026 00:00,00-01-1900 00:14,Email,Payment,Payment Failed,Low,AG007,Bengaluru,New,Closed,265,112,No,Yes,3,07-04-2026 00:00,00-01-1900 16:14
TKT000128,CUST00367,13-06-2026 00:00,00-01-1900 18:43,Email,Delivery,Wrong Address,Medium,AG015,Delhi,New,Closed,95,37.04,No,No,3,15-06-2026 00:00,00-01-1900 07:45
TKT000129,CUST02723,19-02-2026 00:00,00-01-1900 15:08,Chat,Payment,Amount Debited,Medium,AG002,Delhi,Returning,Pending,90,,No,No,,,
TKT000130,CUST04283,01-06-2026 00:00,00-01-1900 09:52,Phone,Delivery,Wrong Address,High,AG010,Mumbai,New,Closed,23,6.75,No,No,,01-06-2026 00:00,00-01-1900 16:37
TKT000131,CUST02756,10-04-2026 00:00,00-01-1900 03:50,Phone,Cancellation,Order Cancellation,Medium,AG018,Mumbai,Returning,Closed,56,21.03,No,No,4,11-04-2026 00:00,00-01-1900 00:52
TKT000132,CUST00798,12-01-2026 00:00,00-01-1900 15:15,Phone,Payment,EMI Issue,Medium,AG002,Chennai,New,Closed,80,16.51,No,No,,13-01-2026 00:00,00-01-1900 07:46
TKT000133,CUST01067,08-04-2026 00:00,00-01-1900 02:35,Chat,Delivery,Tracking Issue,Low,AG016,Mumbai,Returning,Closed,93,42.86,No,No,4,09-04-2026 00:00,00-01-1900 21:27
TKT000134,CUST00872,02-01-2026 00:00,00-01-1900 17:23,Social Media,Payment,Duplicate Charge,Low,AG005,Bengaluru,Returning,Closed,87,15.52,No,No,4,03-01-2026 00:00,00-01-1900 08:54
